timestamp,event,asset,window,direction,price,pnl,cumulative,cl_open,cl_close
2026-03-09T02:25:03+00:00,WIN,BTC,5m,UP,0.96,0.21,11.71,66027.63,2026-03-09T02:25:03+00:000
2026-03-09T02:35:03+00:00,WIN,BTC,5m,UP,0.96,0.21,11.91,66115.38,2026-03-09T02:35:03+00:000
2026-03-09T02:35:03+00:00,WIN,SOL,5m,UP,0.96,0.21,12.12,81.92,2026-03-09T02:35:03+00:000
2026-03-09T02:55:03+00:00,WIN,ETH,5m,UP,0.96,0.21,12.33,1959.71,2026-03-09T02:55:03+00:000
2026-03-09T03:20:03+00:00,WIN,BTC,5m,UP,0.89,0.62,12.95,67445.4,2026-03-09T03:20:03+00:000
2026-03-09T03:30:03+00:00,WIN,ETH,5m,UP,0.91,0.49,13.44,1980.88,2026-03-09T03:30:03+00:000
2026-03-09T03:30:03+00:00,WIN,BTC,5m,UP,0.945,0.29,13.73,67139.67,2026-03-09T03:30:03+00:000
2026-03-09T03:55:04+00:00,WIN,SOL,5m,DOWN,0.92,0.43,14.17,83.11,2026-03-09T03:55:04+00:000
2026-03-09T03:55:04+00:00,WIN,ETH,5m,DOWN,0.95,0.26,14.43,1976.61,2026-03-09T03:55:04+00:000
2026-03-09T03:55:04+00:00,WIN,BTC,5m,DOWN,0.89,0.62,15.05,67134.62,2026-03-09T03:55:04+00:000
2026-03-09T04:00:03+00:00,WIN,ETH,5m,UP,0.97,0.15,15.2,1973.54,2026-03-09T04:00:03+00:000
2026-03-09T04:00:03+00:00,WIN,SOL,5m,UP,0.97,0.15,15.36,82.99,2026-03-09T04:00:03+00:000
2026-03-09T04:05:03+00:00,WIN,SOL,5m,UP,0.96,0.21,15.57,83.15,2026-03-09T04:05:03+00:000
2026-03-09T04:35:03+00:00,WIN,BTC,5m,DOWN,0.94,0.32,15.89,67570.56,2026-03-09T04:35:03+00:000
2026-03-09T04:55:03+00:00,WIN,BTC,5m,DOWN,0.94,0.32,16.21,67453.77,2026-03-09T04:55:03+00:000
2026-03-09T05:00:03+00:00,WIN,ETH,5m,DOWN,0.96,0.21,16.41,1981.03,2026-03-09T05:00:03+00:000
2026-03-09T05:05:03+00:00,WIN,ETH,5m,UP,0.96,0.21,16.62,1976.99,2026-03-09T05:05:03+00:000
2026-03-09T05:05:03+00:00,WIN,BTC,5m,UP,0.975,0.13,16.75,67128.97,2026-03-09T05:05:03+00:000
2026-03-09T05:30:03+00:00,WIN,BTC,5m,UP,0.97,0.15,16.91,67293.78,2026-03-09T05:30:03+00:000
2026-03-09T05:40:03+00:00,WIN,BTC,5m,DOWN,0.94,0.32,17.22,67593.18,2026-03-09T05:40:03+00:000
2026-03-09T06:05:03+00:00,WIN,ETH,5m,DOWN,0.94,0.32,17.54,2010.33,2026-03-09T06:05:03+00:000
2026-03-09T06:10:03+00:00,WIN,SOL,5m,DOWN,0.97,0.15,17.7,84.16,2026-03-09T06:10:03+00:000
2026-03-09T06:15:03+00:00,WIN,ETH,5m,UP,0.95,0.26,17.96,2004.49,2026-03-09T06:15:03+00:000
