ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:25:00.935851167+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773001200,0,1954.68,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.199,,,1959.22,1954.72,-0.2294,DOWN,CL,0,0.99,0.3088,0.0956,1.6887,4.9747,104.9747,7,2,,,
2026-03-08T20:25:00.935938339+00:00,R0308_200647,SETTLE,S3,xrp,xrp-updown-5m-1773001200,0,1.35,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.28,,,1.35,1.35,-0.0705,DOWN,CL,0,0.99,0.3087,0.131,1.8871,5.1731,105.1731,7,2,,,
2026-03-08T20:25:10.418227053+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773001500,290,1954.65,0.51,0.5,0.01,17,22,50,49,0,0.5,0.49,0.01,22,17,49,50,0,0.511,0.501,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:25:10.418381045+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773001500,290,82.19,0.52,0.47,0.05,20,18,47,48,0,0.53,0.48,0.05,18,20,48,47,0,0.521,0.531,5,5,,,,,,,,,,,,,,,,,,,WIDE_SPREAD_UP|WIDE_SPREAD_DN,,
2026-03-08T20:25:10.418475448+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773001500,290,1.35,0.5,0.48,0.02,21,14,48,50,0,0.52,0.5,0.02,14,21,50,48,0,0.501,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:25:50.367540205+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773001500,250,67065.04,0.51,0.5,0.01,143.1,3,50,48,0,0.5,0.49,0.01,3,143.1,48,50,0,0.511,0.501,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:29:31.992235129+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773001500,29,1.35,,,,,,,,,,,,,20,,44,47,,,,,DN,0.5,0.52,REAL,4.7985,1.35,1.35,0.0302,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:29:31.992349711+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773001500,29,1956.83,,,,,,,,,,,,,284,,3,96,,,,,DN,0.03,0.03,REAL,0.2994,1954.46,1957.07,0.1334,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:29:31.992408941+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773001500,29,67071.42,,,,,,,,,,,,,206.3,,41,45,,,,,DN,0.41,0.46,REAL,4.0918,67050.68,67084.74,0.0508,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:29:33.220225412+00:00,R0308_200647,DUMP,S3,sol,sol-updown-5m-1773001500,27,82.22,,,,,,,,,,,,,29.7,,19,78,,,,,DN,0.209,0.21,REAL,1.968,82.17,82.22,0.0494,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:30:00.615143205+00:00,R0308_200647,SETTLE,S3,xrp,xrp-updown-5m-1773001500,0,1.35,,,0.02,,,,,,,,0.02,,,,,,,,,,,0.5,,,1.35,1.35,-0.0171,DOWN,CL,0,0.99,0.3056,0.1559,4.1254,10.6412,110.6412,9,3,,,
2026-03-08T20:30:00.615322485+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773001500,0,1956.3,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.03,,,1954.46,1956.19,0.0882,UP,CL,0.99,0,0.3087,0.0182,-0.2428,6.273,106.273,8,4,,,
2026-03-08T20:30:00.615456197+00:00,R0308_200647,SETTLE,S3,sol,sol-updown-5m-1773001500,0,82.19,,,0.05,,,,,,,,0.05,,,,,,,,,,,0.209,,,82.17,82.19,0.0227,UP,CL,0.99,0,0.2963,0.0973,1.1714,7.6871,107.6871,9,3,,,
2026-03-08T20:30:00.615580164+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773001500,0,67031.8,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.41,,,67050.68,67033.78,-0.0252,DOWN,CL,0,0.99,0.3087,0.1479,3.5351,10.0509,110.0509,9,3,,,
2026-03-08T20:30:10.354980335+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773001800,290,67028.45,0.5,0.49,0.01,63.4,642.5,49,50,0,0.51,0.5,0.01,642.5,63.4,50,49,0,0.501,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:30:10.355124472+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773001800,290,82.18,0.49,0.48,0.01,98.8,43,48,51,0,0.52,0.51,0.01,43,98.8,51,48,0,0.491,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:30:10.355209481+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773001800,290,1.35,0.51,0.49,0.02,10,42.1,49,49,0,0.51,0.49,0.02,42.1,10,49,49,0,0.511,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
